2016-12-10,,Romaine,$4.95
2016-12-10,,Southwestern Protein Box,$8.50
2016-12-10,,H&H Tuna Salad Sandwich,$4.05
2016-12-10,,Ten Vegetable,$7.75
2016-12-10,,Poland Spring Sparkling Raspberry Lime,$2.15
2016-12-10,,Cajun Chicken & Avocado Cobb with Smoky Chipotle ,$8.25
2016-12-10,,Tahini Chicken Protein Box,$8.50
2016-12-10,,Chicken Pot Pie,$9.30
2016-12-10,,Poland Spring Water,$2.00
2016-12-10,,Popcorners,$1.65
2016-12-10,,Apple,$0.95
2016-12-10,,Spicy Chickpea With Lemon,$7.75
2016-12-10,,Korean BBQ Beef over Kimchi Rice,$10.95
2016-12-10,,Oatmeal Raisin Cookie,$1.40
2016-12-10,,Tortellini Florentine,$9.30
2016-12-10,,"Fresh Mozzarella, Roasted Tomatoes & Arugula ",$3.50
2016-12-10,,Baby Spinach,$4.95
2016-12-10,,Deep River Potato Chips,$1.65
2016-12-10,,Extra Crackers,$0.50
2016-12-10,,Three Lentil Chili,$7.75
2016-12-10,,Terra Chips,$1.95
2016-12-10,,"Farro, Sweet Potato & Avocado with Savory Tahini",$8.25
2016-12-10,,Holiday Turkey & Trimmings ,$4.15
2016-12-10,,Simple Chicken Salad ,$3.50
2016-12-10,,Organic Lemonade,$2.35
2016-12-10,,Vietnamese Shrimp & Pork Noodle Soup,$9.30
2016-12-10,,Spicy Cajun Chicken,$4.15
2016-12-10,,Chocolate Chip Cookie,$1.40
2016-12-10,,Grilled Chicken & Guacamole,$4.05
2016-12-10,,Coke,$2.15
2016-12-10,,Citrus Cup,$3.50
2016-12-10,,Chicken Avocado with Cranberries & Walnuts with HH Vinaigrette,$8.25
2016-12-10,,Extra Croutons (2 scoops),$0.50
2016-12-10,,Harvest Apple Salad with Apple Cider Vinaigrette,$10.25
2016-12-10,,Lemon Snapple,$2.15
2016-12-10,,Chewy Marshmallow Bar With Brown Butter & Sea Salt,$2.50
2016-12-10,,Cream of Tomato with Chicken And Orzo,$9.30
2016-12-10,,Half & Half,$2.35
2016-12-10,,Beef Vegetable,$10.15
2016-12-10,,Arroz Con Pollo (Contains Pork),$9.30
2016-12-10,,Turkey & Avocado With Walnut Pesto,$4.05
2016-12-10,,Sriracha Chicken,$4.05
2016-12-10,,Campfire Vegetarian Chili ,$9.30
2016-12-10,,Green Goddess with Avocado Green Goddess Dressing,$10.25
2016-12-10,,Poland Spring Sparkling Lemon,$2.15
2016-12-10,,Chicken Vegetable With Couscous Or Noodles,$7.75
2016-12-10,,Truffle Brownie,$1.80
2016-12-10,,Balsamic Chicken & Avocado,$4.05
2016-12-10,,Tuna Nicoise Protein Box,$8.50
2016-12-10,,Extra Sourdough,$0.50
2016-12-10,,Thai Chicken ,$8.65
2016-12-10,,"Grilled Chicken Caesar Saladwith Caesar dressing",$8.25
2016-12-10,,Romesco Chicken & Artichoke with Spanish Romesco Dressing,$10.25
2016-12-10,,Thai Chicken Satay Over Rice Vermicelli Noodles,$9.95
2016-12-10,,Classic Black Tea,$2.35
2016-12-10,,Fall Apple Cheddar,$9.30
2016-12-10,,Mixed Greens,$4.95
2016-12-10,,Beef Chimichurri,$4.15
2016-12-10,,Tomato Basil With Rice,$7.75
2016-12-10,,Fresh Mozzarella & Tomato With Basil,$4.05
2016-12-10,,Turkey & Smoked Gouda,$4.15
2016-12-10,,Fresh Mozzarella & Avocado With Lemon Aioli,$4.05
2016-12-10,,Extra Seven Grain,$0.50
2016-12-10,,Pineapple ,$3.50
2016-12-10,,BBQ Sweet Potato Salad,$3.50
2016-12-10,,San Pellegrino Sparkling Water,$2.75
2016-12-10,,Fall Apple Slaw,$3.50
2016-12-10,,Green Goddess Chicken Picnic Box,$5.50
2016-12-10,,Ginger Ale,$2.15
2016-12-10,,Seafood Fra Diavolo Over Basil Orzo,$10.95
2016-12-10,,Diet Lemon Snapple,$2.15
2016-12-10,,Diet Coke,$2.15
2016-12-10,,Pop 101 Baked Popcorn,$1.65
2016-12-10,,"Black Forest Ham, Murray's Cheddar & Beer Mustard  ",$4.15
2016-12-10,,Pot Roast,$9.30
2016-12-10,,Prosciutto and Mozzarella Picnic Box,$5.50
2016-12-10,17th-and-broadway,Romaine,$4.95
2016-12-10,17th-and-broadway,Southwestern Protein Box,$8.50
2016-12-10,17th-and-broadway,H&H Tuna Salad Sandwich,$4.05
2016-12-10,17th-and-broadway,Ten Vegetable,$7.75
2016-12-10,17th-and-broadway,Poland Spring Sparkling Raspberry Lime,$2.15
2016-12-10,17th-and-broadway,Cajun Chicken & Avocado Cobb with Smoky Chipotle ,$8.25
2016-12-10,17th-and-broadway,Tahini Chicken Protein Box,$8.50
2016-12-10,17th-and-broadway,Chicken Pot Pie,$9.30
2016-12-10,17th-and-broadway,Poland Spring Water,$2.00
2016-12-10,17th-and-broadway,Popcorners,$1.65
2016-12-10,17th-and-broadway,Apple,$0.95
2016-12-10,17th-and-broadway,Spicy Chickpea With Lemon,$7.75
2016-12-10,17th-and-broadway,Korean BBQ Beef over Kimchi Rice,$10.95
2016-12-10,17th-and-broadway,Oatmeal Raisin Cookie,$1.40
2016-12-10,17th-and-broadway,Tortellini Florentine,$9.30
2016-12-10,17th-and-broadway,"Fresh Mozzarella, Roasted Tomatoes & Arugula ",$3.50
2016-12-10,17th-and-broadway,Baby Spinach,$4.95
2016-12-10,17th-and-broadway,Deep River Potato Chips,$1.65
2016-12-10,17th-and-broadway,Extra Crackers,$0.50
2016-12-10,17th-and-broadway,Three Lentil Chili,$7.75
2016-12-10,17th-and-broadway,Terra Chips,$1.95
2016-12-10,17th-and-broadway,"Farro, Sweet Potato & Avocado with Savory Tahini",$8.25
2016-12-10,17th-and-broadway,Holiday Turkey & Trimmings ,$4.15
2016-12-10,17th-and-broadway,Simple Chicken Salad ,$3.50
2016-12-10,17th-and-broadway,Organic Lemonade,$2.35
2016-12-10,17th-and-broadway,Vietnamese Shrimp & Pork Noodle Soup,$9.30
2016-12-10,17th-and-broadway,Spicy Cajun Chicken,$4.15
2016-12-10,17th-and-broadway,Chocolate Chip Cookie,$1.40
2016-12-10,17th-and-broadway,Grilled Chicken & Guacamole,$4.05
2016-12-10,17th-and-broadway,Coke,$2.15
2016-12-10,17th-and-broadway,Citrus Cup,$3.50
2016-12-10,17th-and-broadway,Chicken Avocado with Cranberries & Walnuts with HH Vinaigrette,$8.25
2016-12-10,17th-and-broadway,Extra Croutons (2 scoops),$0.50
2016-12-10,17th-and-broadway,Harvest Apple Salad with Apple Cider Vinaigrette,$10.25
2016-12-10,17th-and-broadway,Lemon Snapple,$2.15
2016-12-10,17th-and-broadway,Chewy Marshmallow Bar With Brown Butter & Sea Salt,$2.50
2016-12-10,17th-and-broadway,Cream of Tomato with Chicken And Orzo,$9.30
2016-12-10,17th-and-broadway,Half & Half,$2.35
2016-12-10,17th-and-broadway,Beef Vegetable,$10.15
2016-12-10,17th-and-broadway,Arroz Con Pollo (Contains Pork),$9.30
2016-12-10,17th-and-broadway,Turkey & Avocado With Walnut Pesto,$4.05
2016-12-10,17th-and-broadway,Sriracha Chicken,$4.05
2016-12-10,17th-and-broadway,Campfire Vegetarian Chili ,$9.30
2016-12-10,17th-and-broadway,Green Goddess with Avocado Green Goddess Dressing,$10.25
2016-12-10,17th-and-broadway,Poland Spring Sparkling Lemon,$2.15
2016-12-10,17th-and-broadway,Chicken Vegetable With Couscous Or Noodles,$7.75
2016-12-10,17th-and-broadway,Truffle Brownie,$1.80
2016-12-10,17th-and-broadway,Balsamic Chicken & Avocado,$4.05
2016-12-10,17th-and-broadway,Tuna Nicoise Protein Box,$8.50
2016-12-10,17th-and-broadway,Extra Sourdough,$0.50
2016-12-10,17th-and-broadway,Thai Chicken ,$8.65
2016-12-10,17th-and-broadway,"Grilled Chicken Caesar Saladwith Caesar dressing",$8.25
2016-12-10,17th-and-broadway,Romesco Chicken & Artichoke with Spanish Romesco Dressing,$10.25
2016-12-10,17th-and-broadway,Thai Chicken Satay Over Rice Vermicelli Noodles,$9.95
2016-12-10,17th-and-broadway,Classic Black Tea,$2.35
2016-12-10,17th-and-broadway,Fall Apple Cheddar,$9.30
2016-12-10,17th-and-broadway,Mixed Greens,$4.95
2016-12-10,17th-and-broadway,Beef Chimichurri,$4.15
2016-12-10,17th-and-broadway,Tomato Basil With Rice,$7.75
2016-12-10,17th-and-broadway,Fresh Mozzarella & Tomato With Basil,$4.05
2016-12-10,17th-and-broadway,Turkey & Smoked Gouda,$4.15
2016-12-10,17th-and-broadway,Fresh Mozzarella & Avocado With Lemon Aioli,$4.05
2016-12-10,17th-and-broadway,Extra Seven Grain,$0.50
2016-12-10,17th-and-broadway,Pineapple ,$3.50
2016-12-10,17th-and-broadway,BBQ Sweet Potato Salad,$3.50
2016-12-10,17th-and-broadway,San Pellegrino Sparkling Water,$2.75
2016-12-10,17th-and-broadway,Fall Apple Slaw,$3.50
2016-12-10,17th-and-broadway,Green Goddess Chicken Picnic Box,$5.50
2016-12-10,17th-and-broadway,Ginger Ale,$2.15
2016-12-10,17th-and-broadway,Seafood Fra Diavolo Over Basil Orzo,$10.95
2016-12-10,17th-and-broadway,Diet Lemon Snapple,$2.15
2016-12-10,17th-and-broadway,Diet Coke,$2.15
2016-12-10,17th-and-broadway,Pop 101 Baked Popcorn,$1.65
2016-12-10,17th-and-broadway,"Black Forest Ham, Murray's Cheddar & Beer Mustard  ",$4.15
2016-12-10,17th-and-broadway,Pot Roast,$9.30
2016-12-10,17th-and-broadway,Prosciutto and Mozzarella Picnic Box,$5.50
2016-12-10,21st-and-6th,Romaine,$4.95
2016-12-10,21st-and-6th,Italian Wedding Soup,$9.30
2016-12-10,21st-and-6th,H&H Tuna Salad Sandwich,$4.05
2016-12-10,21st-and-6th,Extra Seven Grain,$0.50
2016-12-10,21st-and-6th,Ten Vegetable,$7.75
2016-12-10,21st-and-6th,Grilled Chicken Quesadilla (Topped With Tortilla Strips),$9.30
2016-12-10,21st-and-6th,Cajun Chicken & Avocado Cobb with Smoky Chipotle ,$8.25
2016-12-10,21st-and-6th,Tahini Chicken Protein Box,$8.50
2016-12-10,21st-and-6th,Chicken Pot Pie,$9.30
2016-12-10,21st-and-6th,Poland Spring Water,$2.00
2016-12-10,21st-and-6th,Popcorners,$1.65
2016-12-10,21st-and-6th,Apple,$0.95
2016-12-10,21st-and-6th,Spicy Chickpea With Lemon,$7.75
2016-12-10,21st-and-6th,Korean BBQ Beef over Kimchi Rice,$10.95
2016-12-10,21st-and-6th,Oatmeal Raisin Cookie,$1.40
2016-12-10,21st-and-6th,Chocolate Chip Cookie,$1.40
2016-12-10,21st-and-6th,"Fresh Mozzarella, Roasted Tomatoes & Arugula ",$3.50
2016-12-10,21st-and-6th,Baby Spinach,$4.95
2016-12-10,21st-and-6th,Deep River Potato Chips,$1.65
2016-12-10,21st-and-6th,Extra Crackers,$0.50
2016-12-10,21st-and-6th,Three Lentil Chili,$7.75
2016-12-10,21st-and-6th,Terra Chips,$1.95
2016-12-10,21st-and-6th,"Farro, Sweet Potato & Avocado with Savory Tahini",$8.25
2016-12-10,21st-and-6th,Holiday Turkey & Trimmings ,$4.15
2016-12-10,21st-and-6th,Poland Spring Sparkling Raspberry Lime,$2.15
2016-12-10,21st-and-6th,Simple Chicken Salad ,$3.50
2016-12-10,21st-and-6th,Organic Lemonade,$2.35
2016-12-10,21st-and-6th,Chicken Chili,$9.30
2016-12-10,21st-and-6th,Spicy Cajun Chicken,$4.15
2016-12-10,21st-and-6th,Grilled Chicken & Guacamole,$4.05
2016-12-10,21st-and-6th,Coke,$2.15
2016-12-10,21st-and-6th,Citrus Cup,$3.50
2016-12-10,21st-and-6th,Chicken Avocado with Cranberries & Walnuts with HH Vinaigrette,$8.25
2016-12-10,21st-and-6th,Extra Croutons (2 scoops),$0.50
2016-12-10,21st-and-6th,Harvest Apple Salad with Apple Cider Vinaigrette,$10.25
2016-12-10,21st-and-6th,Seafood Jambalaya,$10.15
2016-12-10,21st-and-6th,Lemon Snapple,$2.15
2016-12-10,21st-and-6th,Chewy Marshmallow Bar With Brown Butter & Sea Salt,$2.50
2016-12-10,21st-and-6th,Fresh Mozzarella & Tomato With Basil,$4.05
2016-12-10,21st-and-6th,Half & Half,$2.35
2016-12-10,21st-and-6th,Turkey & Avocado With Walnut Pesto,$4.05
2016-12-10,21st-and-6th,Diet Coke,$2.15
2016-12-10,21st-and-6th,Arroz Con Pollo (Contains Pork),$9.30
2016-12-10,21st-and-6th,Fall Harvest Vegetable,$7.75
2016-12-10,21st-and-6th,Sriracha Chicken,$4.05
2016-12-10,21st-and-6th,Green Goddess with Avocado Green Goddess Dressing,$10.25
2016-12-10,21st-and-6th,Black Lentil With Smoked Turkey,$9.30
2016-12-10,21st-and-6th,Poland Spring Sparkling Lemon,$2.15
2016-12-10,21st-and-6th,Chicken Vegetable With Couscous Or Noodles,$7.75
2016-12-10,21st-and-6th,Truffle Brownie,$1.80
2016-12-10,21st-and-6th,Balsamic Chicken & Avocado,$4.05
2016-12-10,21st-and-6th,Tuna Nicoise Protein Box,$8.50
2016-12-10,21st-and-6th,Extra Sourdough,$0.50
2016-12-10,21st-and-6th,"Grilled Chicken Caesar Saladwith Caesar dressing",$8.25
2016-12-10,21st-and-6th,Romesco Chicken & Artichoke with Spanish Romesco Dressing,$10.25
2016-12-10,21st-and-6th,Thai Chicken Satay Over Rice Vermicelli Noodles,$9.95
2016-12-10,21st-and-6th,Classic Black Tea,$2.35
